date,high,low,open,close,volume
2019-09-19 16:00:00,301.5100,300.7300,301.4900,301.0600,9937202
2019-09-19 15:30:00,301.6400,301.3500,301.5450,301.4900,4098907
2019-09-19 15:00:00,301.7200,301.3800,301.7000,301.5400,2748392
2019-09-19 14:30:00,301.8500,301.6600,301.7700,301.7000,3783310
2019-09-19 14:00:00,301.8800,301.1900,301.7900,301.7800,5494819
2019-09-19 13:30:00,302.0800,301.6700,301.9030,301.8000,3571957
2019-09-19 13:00:00,302.0900,301.5700,301.6500,301.9000,4233731
2019-09-19 12:30:00,302.3900,301.6600,302.2900,301.6600,4041333
2019-09-19 12:00:00,302.6200,302.1400,302.3500,302.2900,3468805
2019-09-19 11:30:00,302.3700,302.0800,302.1800,302.3500,4312165
2019-09-19 11:00:00,302.4900,302.1800,302.2200,302.1800,6653297
2019-09-19 10:30:00,302.3800,301.8600,301.8750,302.2200,7861333
2019-09-19 10:00:00,302.1700,301.6180,301.6200,301.8700,8294326
2019-09-18 16:00:00,301.2200,300.0050,300.0050,301.0900,10191171
2019-09-18 15:30:00,300.0200,298.9400,299.0700,300.0100,10568881
2019-09-18 15:00:00,299.1700,298.3300,298.5600,299.0700,13601728
2019-09-18 14:30:00,300.5200,298.5700,300.4800,298.7800,11755757
2019-09-18 14:00:00,300.1900,299.6600,299.6800,300.1500,3428573
2019-09-18 13:30:00,300.0200,299.6600,300.0100,299.6900,2244772
2019-09-18 13:00:00,300.2450,300.0100,300.1550,300.0116,1324259
2019-09-18 12:30:00,300.2200,300.0600,300.1800,300.1500,1580417
2019-09-18 12:00:00,300.1900,300.0400,300.1400,300.1900,1599172
2019-09-18 11:30:00,300.2900,300.1100,300.2700,300.1400,1863969
2019-09-18 11:00:00,300.5400,300.2000,300.5000,300.2800,2271178
2019-09-18 10:30:00,300.5100,300.1100,300.1500,300.5100,2578347
2019-09-18 10:00:00,300.6000,299.9100,300.4900,300.1600,4782235
2019-09-17 16:00:00,301.0400,300.4300,300.4400,300.9400,6109475
2019-09-17 15:30:00,300.4500,300.1600,300.2900,300.4400,2746171
2019-09-17 15:00:00,300.3900,300.2000,300.2000,300.2900,1734305
2019-09-17 14:30:00,300.4750,300.1300,300.2800,300.2000,3036100
2019-09-17 14:00:00,300.6000,300.0800,300.0900,300.2900,1953777
2019-09-17 13:30:00,300.2200,299.9600,300.0000,300.1000,1103613
2019-09-17 13:00:00,300.1600,299.9500,300.1300,300.0000,2029721
2019-09-17 12:30:00,300.4300,300.0300,300.2950,300.1200,1774035
2019-09-17 12:00:00,300.4400,300.2400,300.2700,300.2900,1441545
2019-09-17 11:30:00,300.5700,299.9700,299.9800,300.2700,2902826
2019-09-17 11:00:00,300.3100,299.9700,300.1650,299.9700,2181515
2019-09-17 10:30:00,300.2300,299.8550,300.1662,300.1812,2857971
